,Link,Nama,Lokasi,Harga,Jenis,Listrik,Luas Kamar,K Mandi Dalam,AC,WiFi,Kasur,Akses 24 Jam,Panjang Kamar,Lebar Kamar,Maps,Latitude,Longitude,UPN
340,https://mamikos.com/room/kost-surabaya-kost-putri-eksklusif-kost-keputih-74-sukolilo-surabaya?redirection_source=list%20kos%20result,Kost Keputih 74 Sukolilo Surabaya,Sukolilo,1800000,Putri,Tidak termasuk listrik,16.0,Yes,Yes,Yes,Yes,Yes,4.0,4.0,"https://maps.google.com/maps?z=7&q=-7.2914091,112.8053443",-7.2914091,112.8053443,4.956521857359415
341,https://mamikos.com/room/kost-kota-surabaya-kost-campur-murah-kost-ida-probolinggo-sukolilo-surabaya?redirection_source=list%20kos%20result,Kost Ida Probolinggo Sukolilo Surabaya,Sukolilo,800000,Campur,Tidak termasuk listrik,15.0,Yes,No,No,No,Yes,3.0,5.0,"https://maps.google.com/maps?z=7&q=-7.287112,112.773939",-7.287112,112.773939,5.330568637987353
342,https://mamikos.com/room/kost-kota-surabaya-kost-campur-eksklusif-kost-like-tipe-a-mulyorejo-surabaya-2?redirection_source=list%20kos%20result,Kost Like Tipe A Mulyorejo Surabaya,Mulyorejo,1400000,Campur,Tidak termasuk listrik,15.0,Yes,No,Yes,Yes,Yes,3.0,5.0,"https://maps.google.com/maps?z=7&q=-7.267732,112.774976",-7.267732,112.774976,7.388475317918747
343,https://mamikos.com/room/kost-surabaya-kost-putri-murah-kost-wisma-sukolilo-surabaya?redirection_source=list%20kos%20result,Kost Wisma Tipe A Sukolilo Surabaya,Sukolilo,650000,Putri,Tidak termasuk listrik,9.0,No,No,Yes,Yes,Yes,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.297385416016,112.77346204211",-7.297385416016,112.77346204211,4.276690226415936
344,https://mamikos.com/room/kost-surabaya-kost-putra-eksklusif-kost-bani-ansor-i-tipe-b-keputih-sukolilo-surabaya?redirection_source=list%20kos%20result,Kost Bani Ansor I Tipe B Keputih Sukolilo Surabaya,Sukolilo,1250000,Putra,Tidak termasuk listrik,9.0,Yes,Yes,Yes,Yes,Yes,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.2928730026767,112.80507747084",-7.2928730026767,112.80507747084,4.794593576852086
345,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-mykost-jalan-wisma-permai-tengah-tipe-a-mulyorejo-surabaya-1?redirection_source=list%20kos%20result,Kost Mykost Jalan Wisma Permai Tengah Tipe A Mulyorejo Surabaya,Mulyorejo,2000000,Putri,Tidak termasuk listrik,9.0,Yes,Yes,Yes,Yes,Yes,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.274355798937,112.78815507889",-7.274355798937,112.78815507889,6.497171263176845
346,https://mamikos.com/room/kost-kota-surabaya-kost-putra-eksklusif-kost-upstanding-bumi-marina-emas-sukolilo-surabaya-2?redirection_source=list%20kos%20result,Kost Upstanding Bumi Marina Emas Sukolilo Surabaya,Sukolilo,1600000,Putra,Tidak termasuk listrik,9.0,Yes,Yes,Yes,Yes,Yes,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.2886800183578,112.80277680606",-7.2886800183578,112.80277680606,5.146583296901744
347,https://mamikos.com/room/kost-kota-surabaya-kost-putri-murah-kost-bu-nurul-tipe-b-sukolilo-surabaya-1?redirection_source=list%20kos%20result,Kost Bu Nurul Tipe B Sukolilo Surabaya,Sukolilo,900000,Putri,Termasuk listrik,9.0,No,No,Yes,Yes,Yes,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.288506,112.797721",-7.288506,112.797721,5.024709841885895
348,https://mamikos.com/room/kost-kota-surabaya-kost-putri-murah-kost-biru-1b-sukolilo-surabaya?redirection_source=list%20kos%20result,Kost Biru 1B Sukolilo Surabaya,Sukolilo,850000,Putri,Termasuk listrik,9.0,No,No,Yes,Yes,Yes,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.2884562007531,112.79861703515",-7.2884562007531,112.79861703515,5.050774778435382
349,https://mamikos.com/room/kost-surabaya-kost-putri-eksklusif-kost-edukost-new-i-executive-sukolilo-surabaya?redirection_source=list%20kos%20result,Kost Edukost New I Executive Sukolilo Surabaya,Sukolilo,1400000,Putri,Tidak termasuk listrik,9.0,No,Yes,Yes,Yes,No,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.29374,112.806816",-7.29374,112.806816,4.7827153529842255
350,https://mamikos.com/room/kost-kota-surabaya-kost-putra-eksklusif-kost-aman-nyaman-tipe-c-sukolilo-surabaya?redirection_source=list%20kos%20result,Kost Aman Nyaman Tipe C Sukolilo Surabaya,Sukolilo,1500000,Putra,Tidak termasuk listrik,9.0,No,Yes,Yes,Yes,Yes,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.293874,112.804526",-7.293874,112.804526,4.668568916583019
351,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-zakia-tipe-a-sukolilo-surabaya-2?redirection_source=list%20kos%20result,Kost Zakia Tipe A Sukolilo Surabaya,Sukolilo,1500000,Putri,Tidak termasuk listrik,12.0,Yes,Yes,Yes,Yes,Yes,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.2934267211006,112.79753744602",-7.2934267211006,112.79753744602,4.4854159798253885
352,https://mamikos.com/room/kost-surabaya-kost-putra-eksklusif-kost-marina-120-sukolilo-surabaya?redirection_source=list%20kos%20result,Kost Marina 120 Sukolilo Surabaya,Sukolilo,1400000,Putra,Tidak termasuk listrik,12.0,Yes,Yes,Yes,Yes,Yes,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.287094,112.803065",-7.287094,112.803065,5.32432548670499
353,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-anggrek-mulyorejo-surabaya-2?redirection_source=list%20kos%20result,Kost Anggrek Mulyorejo Surabaya,Mulyorejo,1300000,Putri,Termasuk listrik,12.0,No,Yes,Yes,Yes,No,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.264849,112.798625",-7.264849,112.798625,7.634172729408492
354,https://mamikos.com/room/kost-kota-surabaya-kost-putri-murah-kost-kamila-2-tipe-a-sukolilo-surabaya-2?redirection_source=list%20kos%20result,Kost Kamila 2 Tipe A Sukolilo Surabaya,Sukolilo,650000,Putri,Termasuk listrik,9.0,No,No,No,Yes,Yes,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.29979,112.778601",-7.29979,112.778601,3.8317481585472737
355,https://mamikos.com/room/kost-surabaya-kost-putri-murah-kost-bang-haji-tipe-a-sukolilo-surabaya?redirection_source=list%20kos%20result,Kost Bang Haji Tipe A Sukolilo Surabaya,Sukolilo,600000,Putri,Tidak termasuk listrik,20.0,No,No,No,Yes,Yes,4.0,5.0,"https://maps.google.com/maps?z=7&q=-7.283341,112.786962",-7.283341,112.786962,5.500913189778276
356,https://mamikos.com/room/kost-kota-surabaya-kost-putra-eksklusif-kost-the-ritzy-zaza-house-sukolilo-surabaya-2?redirection_source=list%20kos%20result,Kost The Ritzy Zaza House Sukolilo Surabaya,Sukolilo,2100000,Putra,Tidak termasuk listrik,8.1,Yes,Yes,Yes,Yes,Yes,3.0,2.7,"https://maps.google.com/maps?z=7&q=-7.292846,112.806979",-7.292846,112.806979,4.880562128309042
357,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-bunda-wisma-permai-mulyorejo-surabaya?redirection_source=list%20kos%20result,Kost Bunda Wisma Permai Mulyorejo Surabaya,Mulyorejo,2000000,Putri,Tidak termasuk listrik,10.8,Yes,Yes,Yes,Yes,Yes,3.0,3.6,"https://maps.google.com/maps?z=7&q=-7.275056,112.786322",-7.275056,112.786322,6.424127748080764
358,https://mamikos.com/room/kost-kota-surabaya-kost-putri-murah-kost-gapura-tipe-1-sukolilo-surabaya?redirection_source=list%20kos%20result,Kost Gapura Tipe 1 Sukolilo Surabaya,Sukolilo,600000,Putri,Termasuk listrik,9.0,No,No,No,Yes,No,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.301775,112.774497",-7.301775,112.774497,3.783788843302704
359,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-rachmat-tipe-a-mulyorejo-surabaya?redirection_source=list%20kos%20result,Kost Rachmat Tipe A Mulyorejo Surabaya,Mulyorejo,1100000,Putri,Tidak termasuk listrik,9.0,No,Yes,Yes,Yes,Yes,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.269837,112.795124",-7.269837,112.795124,7.036044237806714
360,https://mamikos.com/room/kost-surabaya-kost-putra-eksklusif-kost-abhipraya-tipe-a-sukolilo-surabaya?redirection_source=list%20kos%20result,Kost Abhipraya Tipe A Sukolilo Surabaya,Sukolilo,1350000,Putra,Tidak termasuk listrik,10.0,Yes,Yes,Yes,Yes,Yes,4.0,2.5,"https://maps.google.com/maps?z=7&q=-7.297138,112.804279",-7.297138,112.804279,4.323402198669272
361,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-manyar-jaya-12-tipe-ac-sukolilo-surabaya?redirection_source=list%20kos%20result,Kost Manyar Jaya 12 Tipe AC Sukolilo Surabaya,Sukolilo,1650000,Putri,Termasuk listrik,12.0,No,Yes,Yes,Yes,Yes,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.295782,112.771518",-7.295782,112.771518,4.526425647701359
362,https://mamikos.com/room/kost-surabaya-kost-putri-eksklusif-kost-syabab-sukolilo-surabaya?redirection_source=list%20kos%20result,Kost Syabab Sukolilo Surabaya,Sukolilo,1000000,Putri,Tidak termasuk listrik,12.0,Yes,Yes,Yes,Yes,Yes,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.299782,112.774765",-7.299782,112.774765,3.97532608374025
363,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-emk-sukolilo-surabaya?redirection_source=list%20kos%20result,Kost EMK Sukolilo Surabaya,Sukolilo,1350000,Putri,Tidak termasuk listrik,9.0,Yes,Yes,Yes,Yes,Yes,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.2855062,112.7814814",-7.2855062,112.7814814,5.315801382631862
