Link,Nama,Lokasi,Harga,Jenis,Listrik,Luas Kamar,K Mandi Dalam,AC,WiFi,Kasur,Akses 24 Jam,Panjang Kamar,Lebar Kamar,Maps
https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-mst-private-rungkut-surabaya?redirection_source=list%20kos%20result,Kost MST Private Rungkut Surabaya,Rungkut,1700000,Campur,Tidak termasuk listrik,15.0,Yes,Yes,Yes,No,Yes,3.0,5.0,"https://maps.google.com/maps?z=7&q=-7.329849,112.803445"
https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-heluna-1-gunung-anyar-surabaya?redirection_source=list%20kos%20result,Kost Heluna 1 Gunung Anyar Surabaya,Gunung Anyar,1100000,Putri,Tidak termasuk listrik,12.0,No,Yes,Yes,Yes,Yes,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.344483,112.8054"
https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-putria-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Putria Rungkut Surabaya,Rungkut,1000000,Putri,Termasuk listrik,9.0,No,Yes,No,Yes,Yes,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.318073,112.788696"
https://mamikos.com/room/kost-surabaya-kost-putra-eksklusif-kost-mapan-tengah-gunung-anyar-surabaya?redirection_source=list%20kos%20result,Kost Mapan Tengah Gunung Anyar Surabaya,Gunung Anyar,1500000,Putra,Tidak termasuk listrik,12.0,No,Yes,Yes,Yes,No,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.3235393,112.7894871"
https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-erly-tipe-b-gunung-anyar-surabaya?redirection_source=list%20kos%20result,Kost Erly Tipe B Gunung Anyar Surabaya,Gunung Anyar,1650000,Putri,Termasuk listrik,12.0,No,Yes,No,Yes,No,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.342038,112.78871"
https://mamikos.com/room/kost-kota-surabaya-kost-putra-eksklusif-kost-putra-poltek-pelayaran-gunung-anyar-surabaya?redirection_source=list%20kos%20result,Kost Putra Poltek Pelayaran Gunung Anyar Surabaya,Gunung Anyar,700000,Putra,Tidak termasuk listrik,12.0,No,No,Yes,Yes,Yes,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.342334750036,112.79301805661"
https://mamikos.com/room/kost-kota-surabaya-kost-putra-eksklusif-kost-sehati-tipe-a-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Sehati Tipe A Rungkut Surabaya,Rungkut,1350000,Putra,Tidak termasuk listrik,9.0,Yes,Yes,Yes,Yes,Yes,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.3323655396086,112.79799945652"
https://mamikos.com/room/kost-surabaya-kost-putri-murah-kost-ibu-liek-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Ibu Liek Rungkut Surabaya,Rungkut,1000000,Putri,Termasuk listrik,9.0,No,No,No,Yes,Yes,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.3307091,112.7827263"
https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-grand-bougenville-exclusive-rungkut-surabaya-1?redirection_source=list%20kos%20result,Kost Grand Bougenville Exclusive Rungkut Surabaya,Rungkut,1500000,Putri,Tidak termasuk listrik,12.0,Yes,Yes,Yes,Yes,Yes,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.3305798262528,112.78743524104"
https://mamikos.com/room/kost-kota-surabaya-kost-putra-murah-kost-melon-25-gunung-anyar-surabaya-2?redirection_source=list%20kos%20result,Kost Melon 25 Gunung Anyar Surabaya,Gunung Anyar,1000000,Putra,Tidak termasuk listrik,9.0,Yes,Yes,Yes,Yes,Yes,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.34385,112.804895"
https://mamikos.com/room/kost-surabaya-kost-campur-eksklusif-kost-tentoo-stay-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Tentoo Stay Rungkut Surabaya,Rungkut,2000000,Campur,Tidak termasuk listrik,12.0,Yes,Yes,Yes,No,Yes,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.3280257,112.7800455"
https://mamikos.com/room/kost-surabaya-kost-campur-murah-kost-umi-siti-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Umi Siti Rungkut Surabaya,Rungkut,850000,Campur,Tidak termasuk listrik,12.0,Yes,No,Yes,Yes,No,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.3308438595539,112.80176796019"
https://mamikos.com/room/kost-surabaya-kost-putri-eksklusif-kost-jl-rungkut-harapan-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Jl Rungkut Harapan Rungkut Surabaya,Rungkut,1500000,Putri,Tidak termasuk listrik,15.0,Yes,Yes,Yes,Yes,Yes,3.0,5.0,"https://maps.google.com/maps?z=7&q=-7.3248385596678,112.77955692261"
